Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Sweden,37.96,98.77,131.76,24.45,60.17,106.69,51.2,102.36,114.12,0.49,1.09,2.53,47396.4,55295.8,56424.3,129775.9
Switzerland,56.49,135.95,173.85,36.36,83.82,143.23,84.72,169.39,187.4,0.53,1.13,2.56,82068.7,96057.7,93259.9,214497.8
Syria,1.75,3.58,7.72,1.27,2.36,6.95,1,1.9,3.33,0.1,0.67,2.08,370.1,100.9,420.6,967.4
Sao Tome and Principe,1056.74,2113.73,2415.58,586.4,1172.63,1762.58,1979.09,3958.12,4518.02,0.1,0.68,2.1,501.2,1002.4,2386.7,5489.4
Tajikistan,2.4,4.66,9.98,1.84,3.65,9.54,1.61,3.08,5.49,0.11,0.71,2.19,116,369,1054.2,2424.6
Tanzania,1.85,4.01,7.86,1.79,2.64,8.79,1.09,2.13,3.41,0.09,0.41,1.39,155.1,310.1,1192.8,2743.4
Thailand,3.9,7.93,12.19,2.12,4.32,9.94,5.02,9.93,11.81,0.21,0.83,2.33,1865.7,2556.7,6910,15892.9
Timor-Leste,2.28,4.62,8.88,1.62,3.25,8.14,1.87,3.62,5.23,0.1,0.57,1.81,549.5,1051.3,2389.3,5495.4
Togo,1.71,3.52,7.51,1.71,2.64,9.03,0.82,1.58,2.79,0.08,0.36,1.27,66,226.2,942.6,2168.1
Tonga,4.45,8.82,14.39,3.01,6.03,13.15,5.51,10.87,13.89,0.11,0.74,2.26,1416.3,1947.4,4426,10179.7
Trinidad and Tobago,23.56,70.21,97.71,12.05,40.35,59.92,26.69,53.36,57.49,0.91,1.48,2.83,8637,10207.3,19629.5,45147.8
Tunisia,3.37,6.93,11.31,2.04,4.19,9.76,3.98,7.87,9.99,0.11,0.74,2.26,1049.3,2061.1,3747.4,8619.1
Turkey,6.98,13.86,22.12,4.6,9.19,18.98,9.06,17.97,23.85,1.19,1.73,3.02,3415.8,4590,10674.5,24551.4
Turkmenistan,1.37,2.62,6.52,1.01,2,6.57,0.35,0.55,1.45,0.11,0.74,2.26,3517,4835.9,8792.5,20222.9
Tuvalu,3.94,7.76,13.5,3.24,5.45,14.57,4.41,8.68,11.79,0.11,0.74,2.26,2088.6,3028.5,5221.5,12009.5
Uganda,1.78,3.94,7.76,1.33,2.77,6.98,0.93,1.82,3.12,0.08,0.31,1.12,48.2,163.9,964.4,2218.1
