Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
North Macedonia,6.09,12.65,21.76,3.93,7.86,16.63,4.41,8.66,14.9,0.15,0.23,0.35,3427.6,4745.9,6591.5,15160.4
Norway,54.94,131.66,207.3,33.66,83.08,123.07,36.48,72.93,113.35,0.01,0.10,0.24,88070.6,103292.7,108729.2,250077.1
Oman,18.5,59.03,95.39,10.71,37.56,55.21,7.59,15.2,24.18,0.27,0.64,1.49,6514.8,7767.6,25056.8,57630.6
Pakistan,1.6,3.69,7.14,1.75,2.58,9.84,0.72,1.33,2.69,0.02,0.11,0.33,158.9,317.8,1588.9,3654.4
Palau,11.89,24.2,38.87,6.62,13.24,24.54,8.58,17,27.11,0.10,0.67,2.04,1292.2,7494.7,12921.8,29720.2
Panama,16.74,55.72,90.75,8.27,32.53,45.75,6.04,12.06,18.7,0.48,1.00,2.24,9373.1,11108.9,17357.6,39922.5
Papua New Guinea,2.29,4.87,9.2,2.49,3.91,11.19,1.23,2.31,4.24,0.05,0.37,1.13,249.3,498.5,3115.9,7166.6
Paraguay,3.19,6.94,12.01,2.04,4.13,9.99,1.93,3.73,6.4,1.48,1.86,2.73,3076.5,4184.1,6153.1,14152
Peru,5.53,11.63,18.99,2.98,6,12.72,3.7,7.27,11.67,0.36,0.95,2.36,2636.6,3562.9,7125.8,16389.4
Philippines,2.35,5.17,9.42,1.69,3.38,8.83,1.29,2.43,4.4,0.09,0.58,1.80,559.8,1119.5,3498.5,8046.6
Poland,19.4,61.04,100.03,10.61,37.2,53.96,8.41,16.79,27.08,0.00,0.06,0.10,8409.6,9904.6,18688,42982.4
Portugal,17.81,57.36,94.32,10.13,36.05,51.5,8.2,16.37,27.23,0.33,0.49,0.80,17405.8,20592.8,24515.3,56385.1
Puerto Rico,42.42,107.05,167.69,24.26,64.54,94.17,25.35,50.69,76.83,0.19,0.73,2.01,24998.1,23941.9,35208.6,80979.9
Qatar,39.01,100.1,157.29,23.46,63.02,93.12,22.97,45.96,70.32,2.07,2.56,3.70,19285.5,22792,87661.5,201621.3
Romania,17.48,57.17,97.35,10.15,36.32,56.22,7.12,14.2,26.57,0.43,0.57,0.84,6156.9,7261.9,15786.8,36309.6
Russian Federation,9.54,19.54,33.69,6.08,12.18,24.72,7.18,14.21,24.78,0.02,0.09,0.16,5955.6,8093.5,15270.7,35122.6
Rwanda,1.49,3.96,6.78,1.29,2.69,6.7,0.64,1.23,2.42,0.08,0.36,1.22,96.6,299.5,966.2,2222.3
Samoa,3.03,6.4,11.49,2.33,4.5,10.72,1.85,3.55,6.09,0.05,0.37,1.13,1685.5,2284.8,3745.6,8614.8
San Marino,39.43,100.82,158.62,23.61,63.4,95.23,23.58,47.13,73.07,0.14,0.23,0.38,24742.1,37388.1,54982.5,126459.6
Saudi Arabia,18.2,58.34,93.81,10.37,36.95,54.81,7.37,14.76,23.53,0.38,0.66,1.27,11874.7,14006,30447.9,70030.1
Senegal,1.6,4.05,7.15,1.5,3.15,8.18,0.73,1.39,2.72,0.08,0.51,1.58,255.8,479.6,1598.7,3677.1
Serbia,7.3,15.02,30.62,4.5,9,23.66,5.36,10.57,23,0.43,0.57,0.82,5818,8011.7,9537.7,21936.7
Seychelles,17.54,56.86,91.67,8.96,33.69,45.74,7.43,14.93,22.86,0.34,0.72,1.59,4372.7,5167.7,13250.5,30476
Sierra Leone,1.48,3.78,6.97,1.63,2.32,9.13,0.62,1.19,2.58,0.10,0.71,2.16,47.6,147.5,475.8,1094.3
Singapore,38,98.02,153.88,22.19,60.52,89.65,22.21,44.4,68.05,0.09,0.47,1.35,24842.3,29810.7,82807.6,190457.5
Slovakia,9.86,41.02,63.35,6.71,25.7,51.96,0.86,1.67,3.01,0.01,0.06,0.11,10415.8,12116.4,21256.8,48890.7
Slovenia,9.44,41.14,68.81,3.74,23.45,31.8,0.49,0.94,1.86,0.49,0.65,0.97,18201.2,21329.5,28439.3,65410.5
Solomon Islands,2.74,5.9,10.57,2.11,4.17,9.72,1.57,3,5.26,0.08,0.57,1.75,463.1,926.2,2205.3,5072.1
Somalia,1.66,3.91,7.48,2.1,3.17,10.06,0.78,1.46,3.02,0.11,0.71,2.20,124.3,142.1,592.1,1361.8
South Africa,3.93,8.6,14.17,2.65,5.09,11.34,2.52,4.99,8.11,1.18,1.25,2.33,3383.2,4601.2,6766.5,15562.9
South Korea,24.73,71.74,115.83,12.96,41.9,60.41,12.26,24.48,38.18,0.16,0.59,1.60,16211.3,23668.5,32422.6,74571.9
South Sudan,1.42,3.58,6.78,1.38,2.45,6.89,0.65,1.24,2.64,0.07,0.29,1.01,535.9,257.2,1071.8,2465.1
Spain,18.86,59.51,95.94,12.69,36.58,69.9,8.2,16.37,27.23,0.06,0.16,0.30,21068.9,24926.6,29674.5,68251.5
Sri Lanka,3.14,6.7,11.72,2.42,3.9,11.94,1.87,3.62,6.13,0.09,0.59,1.80,603.8,1174,3354.4,7715.1
St. Kitts and Nevis,18.06,58.12,93.03,9.43,35.03,50.83,7.04,14.06,21.74,0.08,0.43,1.22,3647.2,13778.3,20262.3,46603.2
St. Lucia,8.37,17.19,27.6,4.36,8.6,16.9,5.91,11.7,18.39,0.19,0.36,0.70,4169.9,5733.6,13030.9,29971.1
St. Vincent and the Grenadines,6.73,13.9,22.62,3.85,6.67,16.31,4.6,9.06,14.42,0.42,0.60,0.96,2646.3,3650.1,9125.3,20988.2
Sudan,2.43,5.45,9.83,2.23,4.29,10.27,1.41,2.72,4.93,0.01,0.04,0.12,99.2,308.6,1102.1,2534.9
Suriname,3.63,7.76,13.69,2.56,5.15,11.96,2.28,4.43,7.82,0.07,0.50,1.49,3573.9,4921.4,5858.8,13475.3
Sweden,37.95,97.69,153.61,24.63,60.44,106.05,22.61,45.18,70.82,0.06,0.16,0.31,47396.4,55295.8,56424.3,129775.9
Switzerland,59.74,141.35,220.4,38.66,88.33,148.69,39.38,78.72,122,0.03,0.10,0.19,82068.7,96057.7,93259.9,214497.8
