location_name year_id rei_name Prevalence Description
Bangladesh 2030 "Mild anemia" 15173141.164054291 Predicted_stable
Bangladesh 2030 "Moderate anemia" 7632779.249785157 Predicted_stable
Bangladesh 2030 "Severe anemia" 317953.8910709827 Predicted_stable
Barbados 1990 "Mild anemia" 12665 Observed
Barbados 1990 "Moderate anemia" 9877 Observed
Barbados 1990 "Severe anemia" 832 Observed
Barbados 1995 "Mild anemia" 12577 Observed
Barbados 1995 "Moderate anemia" 9429 Observed
Barbados 1995 "Severe anemia" 788 Observed
Barbados 2000 "Mild anemia" 12561 Observed
Barbados 2000 "Moderate anemia" 9213 Observed
Barbados 2000 "Severe anemia" 775 Observed
Barbados 2005 "Mild anemia" 12643 Observed
Barbados 2005 "Moderate anemia" 8973 Observed
Barbados 2005 "Severe anemia" 739 Observed
Barbados 2010 "Mild anemia" 12679 Observed
Barbados 2010 "Moderate anemia" 8788 Observed
Barbados 2010 "Severe anemia" 713 Observed
Barbados 2015 "Mild anemia" 12607 Observed
Barbados 2015 "Moderate anemia" 8625 Observed
Barbados 2015 "Severe anemia" 689 Observed
Barbados 2020 "Mild anemia" 12519 Observed
Barbados 2020 "Moderate anemia" 8535 Observed
Barbados 2020 "Severe anemia" 681 Observed
Barbados 2021 "Mild anemia" 12487 Observed
Barbados 2021 "Moderate anemia" 8523 Observed
Barbados 2021 "Severe anemia" 681 Observed
Barbados 2030 "Mild anemia" 12186.924162260202 Predicted_trend
Barbados 2030 "Moderate anemia" 8416.807165178361 Predicted_trend
Barbados 2030 "Severe anemia" 681.6092045637932 Predicted_trend
Barbados 2030 "Mild anemia" 12482.569245961051 Predicted_stable
Barbados 2030 "Moderate anemia" 8494.358285898057 Predicted_stable
Barbados 2030 "Severe anemia" 675.016227911723 Predicted_stable
Belarus 1990 "Mild anemia" 332557 Observed
Belarus 1990 "Moderate anemia" 240700 Observed
Belarus 1990 "Severe anemia" 22156 Observed
Belarus 1995 "Mild anemia" 340970 Observed
Belarus 1995 "Moderate anemia" 250507 Observed
Belarus 1995 "Severe anemia" 23547 Observed
Belarus 2000 "Mild anemia" 349301 Observed
Belarus 2000 "Moderate anemia" 255299 Observed
Belarus 2000 "Severe anemia" 23835 Observed
Belarus 2005 "Mild anemia" 348923 Observed
Belarus 2005 "Moderate anemia" 239304 Observed
Belarus 2005 "Severe anemia" 20579 Observed
Belarus 2010 "Mild anemia" 321490 Observed
Belarus 2010 "Moderate anemia" 206974 Observed
Belarus 2010 "Severe anemia" 16517 Observed
Belarus 2015 "Mild anemia" 281285 Observed
Belarus 2015 "Moderate anemia" 173082 Observed
Belarus 2015 "Severe anemia" 13290 Observed
Belarus 2020 "Mild anemia" 261799 Observed
Belarus 2020 "Moderate anemia" 160360 Observed
Belarus 2020 "Severe anemia" 12312 Observed
Belarus 2021 "Mild anemia" 258954 Observed
Belarus 2021 "Moderate anemia" 159043 Observed
Belarus 2021 "Severe anemia" 12262 Observed
Belarus 2030 "Mild anemia" 233229.3452129584 Predicted_trend
Belarus 2030 "Moderate anemia" 147287.82550835013 Predicted_trend
Belarus 2030 "Severe anemia" 11843.271365709948 Predicted_trend
Belarus 2030 "Mild anemia" 236906.55801879297 Predicted_stable
Belarus 2030 "Moderate anemia" 147192.93233971775 Predicted_stable
Belarus 2030 "Severe anemia" 11451.650318043756 Predicted_stable
Belgium 1990 "Mild anemia" 158364 Observed
Belgium 1990 "Moderate anemia" 50464 Observed
Belgium 1990 "Severe anemia" 1904 Observed
